,gene_name,ensembl_gene_id,chromosome,Source,Start,Strand,gene_source,gene_biotype,gene_length,gene_coding_length,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,gene_include,n_cells,pct_cells
TMEM106B,TMEM106B,ENSG00000106460,7,ensembl_havana,12211240,+,ensembl_havana,protein_coding,32127,13867,TMEM106B,transmembrane protein 106B,Approved,nan,"MGC33727, FLJ11273",True,9896,4.732075399519907
VWDE,VWDE,ENSG00000146530,7,ensembl_havana,12330884,-,ensembl_havana,protein_coding,73057,6490,VWDE,von Willebrand factor D and EGF domains,Approved,nan,FLJ14712,True,1783,0.8525960425772022
SCIN,SCIN,ENSG00000006747,7,ensembl_havana,12570576,+,ensembl_havana,protein_coding,89603,11623,SCIN,scinderin,Approved,nan,KIAA1905,True,3523,1.684630318563928
ARL4A,ARL4A,ENSG00000122644,7,ensembl_havana,12686855,+,ensembl_havana,protein_coding,4079,3561,ARL4A,ADP ribosylation factor like GTPase 4A,Approved,ARL4,nan,True,6754,3.229631896559969
ETV1,ETV1,ENSG00000006468,7,ensembl_havana,13891227,-,ensembl_havana,protein_coding,100198,9616,ETV1,ETS variant transcription factor 1,Approved,nan,ER81,True,12056,5.764945535227566
DGKB,DGKB,ENSG00000136267,7,ensembl_havana,14145048,-,ensembl_havana,protein_coding,829729,9491,DGKB,diacylglycerol kinase beta,Approved,DAGK2,"KIAA0718, DGK, DGK-BETA",True,9227,4.412172565821562
AGMO,AGMO,ENSG00000187546,7,ensembl_havana,15200317,-,ensembl_havana,protein_coding,361698,3587,AGMO,alkylglycerol monooxygenase,Approved,TMEM195,FLJ16237,True,5044,2.411943039124738
MEOX2,MEOX2,ENSG00000106511,7,ensembl_havana,15611211,-,ensembl_havana,protein_coding,75601,2500,MEOX2,mesenchyme homeobox 2,Approved,GAX,MOX2,True,4831,2.3100905674091217
ISPD,ISPD,ENSG00000214960,7,ensembl_havana,16087526,-,ensembl_havana,protein_coding,333796,6309,CRPPA,CDP-L-ribitol pyrophosphorylase A,Approved,ISPD,"hCG_1745121, IspD, Nip",True,12970,6.202002620429789
SOSTDC1,SOSTDC1,ENSG00000171243,7,ensembl_havana,16461480,-,ensembl_havana,protein_coding,69100,2473,SOSTDC1,sclerostin domain containing 1,Approved,nan,"DKFZp564D206, USAG1, DAND7",True,395,0.1888813442613544
LRRC72,LRRC72,ENSG00000205858,7,ensembl_havana,16526879,+,ensembl_havana,protein_coding,54689,1386,LRRC72,leucine rich repeat containing 72,Approved,nan,"CFAP279, FAP279",True,426,0.20370494343123285
ANKMY2,ANKMY2,ENSG00000106524,7,ensembl_havana,16599775,-,ensembl_havana,protein_coding,46042,2854,ANKMY2,ankyrin repeat and MYND domain containing 2,Approved,nan,"DKFZP564O043, ZMYND20",True,6875,3.2874917513843327
BZW2,BZW2,ENSG00000136261,7,ensembl_havana,16646130,+,ensembl_havana,protein_coding,60393,3662,BZW2,basic leucine zipper and W2 domains 2,Approved,nan,"HSPC028, MST017, MSTP017",True,14393,6.8824536403890475
TSPAN13,TSPAN13,ENSG00000106537,7,ensembl_havana,16753534,+,ensembl_havana,protein_coding,31002,2224,TSPAN13,tetraspanin 13,Approved,TM4SF13,NET-6,True,6408,3.06418140259939
AGR2,AGR2,ENSG00000106541,7,ensembl_havana,16791810,-,ensembl_havana,protein_coding,41623,2845,AGR2,"anterior gradient 2, protein disulphide isomerase family member",Approved,nan,"XAG-2, HAG-2, AG2, PDIA17",True,3864,1.847689909432591
AGR3,AGR3,ENSG00000173467,7,ensembl_havana,16859404,-,ensembl_havana,protein_coding,22583,1160,AGR3,"anterior gradient 3, protein disulphide isomerase family member",Approved,nan,"HAG3, hAG-3, BCMP11, PDIA18",True,3767,1.8013063894494228
AHR,AHR,ENSG00000106546,7,ensembl_havana,17298621,+,ensembl_havana,protein_coding,47531,6661,AHR,aryl hydrocarbon receptor,Approved,nan,bHLHe76,True,19322,9.239405908399721
SNX13,SNX13,ENSG00000071189,7,ensembl_havana,17790760,-,ensembl_havana,protein_coding,149741,16418,SNX13,sorting nexin 13,Approved,nan,"RGS-PX1, KIAA0713",True,25254,12.075973336648719
HDAC9,HDAC9,ENSG00000048052,7,ensembl_havana,18086948,+,ensembl_havana,protein_coding,915468,16827,HDAC9,histone deacetylase 9,Approved,nan,"KIAA0744, HDAC, MITR, HD7, HDAC7B",True,33461,16.00040167171944
TWIST1,TWIST1,ENSG00000122691,7,ensembl_havana,19020990,-,ensembl_havana,protein_coding,96682,2033,TWIST1,twist family bHLH transcription factor 1,Approved,"ACS3, BPES3, TWIST, CRS","SCS, H-twist, BPES2, bHLHa38, CRS1",True,1708,0.8167324961984641
TWISTNB,TWISTNB,ENSG00000105849,7,ensembl_havana,19695461,-,ensembl_havana,protein_coding,13626,3997,POLR1F,RNA polymerase I subunit F,Approved,TWISTNB,"RPA43, A43",True,2477,1.184453391735126
TMEM196,TMEM196,ENSG00000173452,7,ensembl_havana,19719309,-,ensembl_havana,protein_coding,54289,4087,TMEM196,transmembrane protein 196,Approved,nan,MGC42090,True,535,0.255826630834999
MACC1,MACC1,ENSG00000183742,7,ensembl_havana,20134654,-,ensembl_havana,protein_coding,82750,9898,MACC1,MET transcriptional regulator MACC1,Approved,nan,"7A5, SH3BP4L",True,13369,6.392796687164676
ITGB8,ITGB8,ENSG00000105855,7,ensembl_havana,20330701,+,ensembl_havana,protein_coding,85053,15156,ITGB8,integrin subunit beta 8,Approved,nan,nan,True,12979,6.206306245995237
ABCB5,ABCB5,ENSG00000004846,7,ensembl_havana,20615206,+,ensembl_havana,protein_coding,161832,9257,ABCB5,ATP binding cassette subfamily B member 5,Approved,nan,"EST422562, ABCB5beta, ABCB5alpha",True,3079,1.472318124001798
SP8,SP8,ENSG00000164651,7,ensembl_havana,20782282,-,ensembl_havana,protein_coding,4604,3718,SP8,Sp8 transcription factor,Approved,nan,nan,True,283,0.1353251150024387
SP4,SP4,ENSG00000105866,7,ensembl_havana,21428033,+,ensembl_havana,protein_coding,86789,6234,SP4,Sp4 transcription factor,Approved,nan,"SPR-1, HF1B, MGC130008, MGC130009",True,7771,3.715941585455658
DNAH11,DNAH11,ENSG00000105877,7,ensembl_havana,21543214,+,ensembl_havana,protein_coding,358625,15998,DNAH11,dynein axonemal heavy chain 11,Approved,nan,"Dnahc11, DPL11, CILD7, DNAHC11, DNAHBL, DNHBL",True,32955,15.758442278817554
CDCA7L,CDCA7L,ENSG00000164649,7,ensembl_havana,21900899,-,ensembl_havana,protein_coding,45185,4074,CDCA7L,cell division cycle associated 7 like,Approved,nan,"RAM2, R1, JPO2",True,3934,1.8811625527194131
RAPGEF5,RAPGEF5,ENSG00000136237,7,ensembl_havana,22118237,-,ensembl_havana,protein_coding,238907,10245,RAPGEF5,Rap guanine nucleotide exchange factor 5,Approved,nan,"KIAA0277, GFR, MR-GEF",True,33250,15.899505561240591
STEAP1B,STEAP1B,ENSG00000105889,7,ensembl_havana,22419443,-,ensembl_havana,protein_coding,213482,2316,STEAP1B,STEAP family member 1B,Approved,nan,nan,True,15502,7.41275594617599
IL6,IL6,ENSG00000136244,7,ensembl_havana,22725883,+,ensembl_havana,protein_coding,6119,2069,IL6,interleukin 6,Approved,IFNB2,"IL-6, BSF2, HGF, HSF",True,1252,0.598682134215736
AC073072.1,AC073072.1,ENSG00000281889,7,ensembl,22798446,+,ensembl,protein_coding,533,123,nan,nan,nan,nan,nan,True,31,0.014823599169878446
TOMM7,TOMM7,ENSG00000196683,7,ensembl_havana,22812627,-,ensembl_havana,protein_coding,10225,1751,TOMM7,translocase of outer mitochondrial membrane 7,Approved,nan,Tom7,True,11838,5.660702160420034
FAM126A,FAM126A,ENSG00000122591,7,ensembl_havana,22889370,-,ensembl_havana,protein_coding,124760,14499,FAM126A,family with sequence similarity 126 member A,Approved,nan,"DRCTNNB1A, HCC, HYCC1, hyccin",True,23379,11.179384677180265
KLHL7,KLHL7,ENSG00000122550,7,ensembl_havana,23105757,+,ensembl_havana,protein_coding,72157,7066,KLHL7,kelch like family member 7,Approved,nan,"KLHL6, SBBI26, RP42",True,17291,8.268221072463492
NUPL2,NUPL2,ENSG00000136243,7,ensembl_havana,23181826,+,ensembl_havana,protein_coding,19185,4366,NUP42,nucleoporin 42,Approved,NUPL2,"NLP_1, CG1, hCG1, H_RG271G13.9",True,15110,7.225309143769785
GPNMB,GPNMB,ENSG00000136235,7,ensembl_havana,23235966,+,ensembl_havana,protein_coding,39142,5956,GPNMB,glycoprotein nmb,Approved,nan,"NMB, HGFIN",True,9190,4.3944798829413845
MALSU1,MALSU1,ENSG00000156928,7,ensembl_havana,23298738,+,ensembl_havana,protein_coding,12991,3851,MALSU1,mitochondrial assembly of ribosomal large subunit 1,Approved,C7orf30,mtRsfA,True,7909,3.7819305107925367
IGF2BP3,IGF2BP3,ENSG00000136231,7,ensembl_havana,23310208,-,ensembl_havana,protein_coding,160259,8511,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,Approved,nan,"IMP-3, CT98, IMP3",True,4915,2.3502577393533084
TRA2A,TRA2A,ENSG00000164548,7,ensembl_havana,23504779,-,ensembl_havana,protein_coding,27262,3516,TRA2A,transformer 2 alpha homolog,Approved,nan,"htra-2-alpha, AWMS1",True,47394,22.66289222765223
CCDC126,CCDC126,ENSG00000169193,7,ensembl_havana,23597378,+,ensembl_havana,protein_coding,47330,3550,CCDC126,coiled-coil domain containing 126,Approved,nan,FLJ23031,True,10100,4.829624245670074
FAM221A,FAM221A,ENSG00000188732,7,ensembl_havana,23680129,+,ensembl_havana,protein_coding,23120,7458,FAM221A,family with sequence similarity 221 member A,Approved,C7orf46,"FLJ45875, MGC72075, DKFZp686F0810",True,4561,2.1809818004456645
STK31,STK31,ENSG00000196335,7,ensembl_havana,23710166,+,ensembl_havana,protein_coding,122347,6183,STK31,serine/threonine kinase 31,Approved,nan,"TDRD8, SgK396",True,1631,0.7799125885829595
NPY,NPY,ENSG00000122585,7,ensembl_havana,24284162,+,ensembl_havana,protein_coding,7703,921,NPY,neuropeptide Y,Approved,nan,PYY4,True,717,0.34285550338073695
MPP6,MPP6,ENSG00000105926,7,ensembl_havana,24573267,+,ensembl_havana,protein_coding,120926,9369,MPP6,membrane palmitoylated protein 6,Approved,nan,"PALS2, VAM-1, p55T",True,10379,4.9630366381989806
DFNA5,DFNA5,ENSG00000105928,7,ensembl_havana,24698352,-,ensembl_havana,protein_coding,59761,8897,GSDME,gasdermin E,Approved,DFNA5,ICERE-1,True,2160,1.0328701357076595
OSBPL3,OSBPL3,ENSG00000070882,7,ensembl_havana,24796538,-,ensembl_havana,protein_coding,185096,8100,OSBPL3,oxysterol binding protein like 3,Approved,OSBP3,"ORP-3, ORP3, KIAA0704",True,14613,6.987653376433347
CYCS,CYCS,ENSG00000172115,7,ensembl_havana,25120090,-,ensembl_havana,protein_coding,5271,4457,CYCS,"cytochrome c, somatic",Approved,nan,"HCS, CYC",True,6944,3.3204862140527722
C7orf31,C7orf31,ENSG00000153790,7,ensembl_havana,25134696,-,ensembl_havana,protein_coding,45660,3837,C7orf31,chromosome 7 open reading frame 31,Approved,nan,nan,True,2556,1.222229660587397
NFE2L3,NFE2L3,ENSG00000050344,7,ensembl_havana,26152239,+,ensembl_havana,protein_coding,34886,4249,NFE2L3,"nuclear factor, erythroid 2 like 3",Approved,nan,Nrf3,True,12597,6.023641249772864
HNRNPA2B1,HNRNPA2B1,ENSG00000122566,7,ensembl_havana,26189926,-,ensembl_havana,protein_coding,11603,7541,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,Approved,HNRPA2B1,nan,True,50593,24.19259202586001
CBX3,CBX3,ENSG00000122565,7,ensembl_havana,26201161,+,ensembl_havana,protein_coding,12195,4641,CBX3,chromobox 3,Approved,nan,HP1Hs-gamma,True,12450,5.9533486988705375
SNX10,SNX10,ENSG00000086300,7,ensembl_havana,26291894,+,ensembl_havana,protein_coding,82435,3518,SNX10,sorting nexin 10,Approved,nan,nan,True,4813,2.3014833162782247
SKAP2,SKAP2,ENSG00000005020,7,ensembl_havana,26667061,-,ensembl_havana,protein_coding,328178,5520,SKAP2,src kinase associated phosphoprotein 2,Approved,SCAP2,"RA70, SKAP-HOM, SKAP55R, SAPS",True,28909,13.823723496839227
HOXA1,HOXA1,ENSG00000105991,7,ensembl_havana,27092992,-,ensembl_havana,protein_coding,3004,2539,HOXA1,homeobox A1,Approved,"HOX1F, HOX1",nan,True,107,0.0511653261669998
HOXA2,HOXA2,ENSG00000105996,7,ensembl_havana,27100353,-,ensembl_havana,protein_coding,2458,2458,HOXA2,homeobox A2,Approved,HOX1K,nan,True,337,0.1611468683951302
HOXA3,HOXA3,ENSG00000105997,7,ensembl_havana,27106183,-,ensembl_havana,protein_coding,46398,4306,HOXA3,homeobox A3,Approved,"HOX1E, HOX1",nan,True,2743,1.311649436225051
HOXA7,HOXA7,ENSG00000122592,7,ensembl_havana,27153715,-,ensembl_havana,protein_coding,4221,2411,HOXA7,homeobox A7,Approved,"HOX1A, HOX1",nan,True,408,0.1950976923003357
HOXA9,HOXA9,ENSG00000078399,7,ensembl_havana,27162434,-,ensembl_havana,protein_coding,12746,3029,HOXA9,homeobox A9,Approved,"HOX1G, HOX1",nan,True,1631,0.7799125885829595
HOXA11,HOXA11,ENSG00000005073,7,ensembl_havana,27181509,-,ensembl_havana,protein_coding,3714,2307,HOXA11,homeobox A11,Approved,"HOX1I, HOX1",nan,True,171,0.08176888574352305
HOXA13,HOXA13,ENSG00000106031,7,ensembl_havana,27193502,-,ensembl_havana,protein_coding,6604,5086,HOXA13,homeobox A13,Approved,"HOX1J, HOX1",nan,True,1088,0.5202605128008951
EVX1,EVX1,ENSG00000106038,7,ensembl_havana,27242699,+,ensembl_havana,protein_coding,7794,3353,EVX1,even-skipped homeobox 1,Approved,nan,nan,True,227,0.10854700037298089
HIBADH,HIBADH,ENSG00000106049,7,ensembl_havana,27525441,-,ensembl_havana,protein_coding,137554,2323,HIBADH,3-hydroxyisobutyrate dehydrogenase,Approved,nan,NS5ATP1,True,25218,12.058758834386925
TAX1BP1,TAX1BP1,ENSG00000106052,7,ensembl_havana,27739330,+,ensembl_havana,protein_coding,105234,9165,TAX1BP1,Tax1 binding protein 1,Approved,nan,"TXBP151, CALCOCO3",True,38629,18.471639107523693
JAZF1,JAZF1,ENSG00000153814,7,ensembl_havana,27830572,-,ensembl_havana,protein_coding,350171,4020,JAZF1,JAZF zinc finger 1,Approved,nan,"TIP27, DKFZp761K2222, ZNF802",True,38705,18.507980834520815
CREB5,CREB5,ENSG00000146592,7,ensembl_havana,28299320,+,ensembl_havana,protein_coding,526574,11674,CREB5,cAMP responsive element binding protein 5,Approved,nan,"H_GS165L15.1, CRE-BPA",True,25886,12.378183487466886
TRIL,TRIL,ENSG00000255690,7,ensembl_havana,28953357,-,ensembl_havana,protein_coding,4935,4935,TRIL,TLR4 interactor with leucine rich repeats,Approved,nan,KIAA0644,True,933,0.4461425169515029
CPVL,CPVL,ENSG00000106066,7,ensembl_havana,28995230,-,ensembl_havana,protein_coding,200221,3340,CPVL,carboxypeptidase vitellogenic like,Approved,nan,nan,True,14058,6.722263133230684
CHN2,CHN2,ENSG00000106069,7,ensembl_havana,29122273,+,ensembl_havana,protein_coding,392055,10660,CHN2,chimerin 2,Approved,nan,"ARHGAP3, RhoGAP3",True,28613,13.682182033797806
PRR15,PRR15,ENSG00000176532,7,ensembl_havana,29563810,+,ensembl_havana,protein_coding,3485,1982,PRR15,proline rich 15,Approved,nan,nan,True,147,0.07029255090232683
WIPF3,WIPF3,ENSG00000122574,7,ensembl_havana,29806485,+,ensembl_havana,protein_coding,110581,6065,WIPF3,WAS/WASL interacting protein family member 3,Approved,nan,"CR16, FLJ36931",True,6550,3.132083050409801
SCRN1,SCRN1,ENSG00000136193,7,ensembl_havana,29920102,-,ensembl_havana,protein_coding,70187,6046,SCRN1,secernin 1,Approved,nan,KIAA0193,True,6904,3.301358989317445
FKBP14,FKBP14,ENSG00000106080,7,ensembl_havana,30010586,-,ensembl_havana,protein_coding,16098,5326,FKBP14,FKBP prolyl isomerase 14,Approved,nan,"FLJ20731, FKBP22",True,3789,1.8118263630538527
PLEKHA8,PLEKHA8,ENSG00000106086,7,ensembl_havana,30027403,+,ensembl_havana,protein_coding,103080,10572,PLEKHA8,pleckstrin homology domain containing A8,Approved,nan,"FAPP2, MGC3358",True,8037,3.843137629945583
MTURN,MTURN,ENSG00000180354,7,ensembl_havana,30134809,+,ensembl_havana,protein_coding,27953,6532,MTURN,"maturin, neural progenitor differentiation regulator homolog",Approved,C7orf41,"FLJ25903, Ells1",True,9459,4.5231104692864585
ZNRF2,ZNRF2,ENSG00000180233,7,ensembl_havana,30284306,+,ensembl_havana,protein_coding,83386,3696,ZNRF2,zinc and ring finger 2,Approved,nan,RNF202,True,18309,8.755008941977565
GS1-114I9.3,GS1-114I9.3,ENSG00000281593,7,havana,30362399,+,havana,protein_coding,50103,666,nan,nan,nan,nan,nan,True,15103,7.2219618794411025
NOD1,NOD1,ENSG00000106100,7,ensembl_havana,30424526,-,ensembl_havana,protein_coding,54258,6820,NOD1,nucleotide binding oligomerization domain containing 1,Approved,CARD4,"NLRC1, CLR7.1",True,22512,10.76480208104205
GGCT,GGCT,ENSG00000006625,7,ensembl_havana,30496620,-,ensembl_havana,protein_coding,8224,1597,GGCT,gamma-glutamylcyclotransferase,Approved,"C7orf24, GCTG","MGC3077, CRF21, Ggc",True,3208,1.5340034237732276
RP4-777O23.3,RP4-777O23.3,ENSG00000281039,7,havana,30497076,-,havana,protein_coding,53685,687,nan,nan,nan,nan,nan,True,12506,5.980126813499996
GARS,GARS,ENSG00000106105,7,ensembl_havana,30594680,+,ensembl_havana,protein_coding,39353,4152,GARS1,glycyl-tRNA synthetase 1,Approved,"CMT2D, GARS","GlyRS, DSMAV, SMAD1",True,7597,3.632738157856986
CRHR2,CRHR2,ENSG00000106113,7,ensembl_havana,30651942,-,ensembl_havana,protein_coding,48187,3984,CRHR2,corticotropin releasing hormone receptor 2,Approved,nan,"CRF2, CRF-RB, HM-CRF",True,155,0.07411799584939223
INMT,INMT,ENSG00000241644,7,ensembl_havana,30697984,+,ensembl_havana,protein_coding,59618,3376,INMT,indolethylamine N-methyltransferase,Approved,nan,nan,True,550,0.2629993401107466
INMT-FAM188B,INMT-FAM188B,ENSG00000254959,7,havana,30752136,+,havana,protein_coding,139945,2880,INMT-MINDY4,INMT-MINDY4 readthrough (NMD candidate),Approved,INMT-FAM188B,nan,True,788,0.37680632728594243
RP5-877J2.1,RP5-877J2.1,ENSG00000250424,7,havana,30852272,+,havana,protein_coding,71540,1531,nan,nan,nan,nan,nan,True,94,0.04494897812801851
AQP1,AQP1,ENSG00000240583,7,ensembl_havana,30911854,+,ensembl_havana,protein_coding,13662,3274,AQP1,aquaporin 1 (Colton blood group),Approved,CO,CHIP28,True,12416,5.93709055784551
GHRHR,GHRHR,ENSG00000106128,7,ensembl_havana,30938668,+,ensembl_havana,protein_coding,54586,3064,GHRHR,growth hormone releasing hormone receptor,Approved,nan,nan,True,379,0.1812304543672236
ADCYAP1R1,ADCYAP1R1,ENSG00000078549,7,ensembl_havana,31052460,+,ensembl_havana,protein_coding,59019,6832,ADCYAP1R1,ADCYAP receptor type I,Approved,nan,"PAC1, PACAPR, PAC1R",True,774,0.37011179862857796
CCDC129,CCDC129,ENSG00000180347,7,ensembl_havana,31514070,+,ensembl_havana,protein_coding,144650,7246,ITPRID1,ITPR interacting domain containing 1,Approved,CCDC129,FLJ38344,True,2359,1.1280280787659114
PPP1R17,PPP1R17,ENSG00000106341,7,ensembl_havana,31686714,+,ensembl_havana,protein_coding,21741,2384,PPP1R17,protein phosphatase 1 regulatory subunit 17,Approved,C7orf16,GSBS,True,512,0.24482847661218596
PDE1C,PDE1C,ENSG00000154678,7,ensembl_havana,31751178,-,ensembl_havana,protein_coding,548151,13821,PDE1C,phosphodiesterase 1C,Approved,nan,Hcam3,True,16303,7.795778621500913
LSM5,LSM5,ENSG00000106355,7,ensembl_havana,32485331,-,ensembl_havana,protein_coding,9952,4701,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",Approved,nan,YER146W,True,6174,2.9522871378977267
AVL9,AVL9,ENSG00000105778,7,ensembl_havana,32495425,+,ensembl_havana,protein_coding,93296,14751,AVL9,AVL9 cell migration associated,Approved,KIAA0241,nan,True,34560,16.525922171322552
KBTBD2,KBTBD2,ENSG00000170852,7,ensembl_havana,32868171,-,ensembl_havana,protein_coding,25960,4987,KBTBD2,kelch repeat and BTB domain containing 2,Approved,BKLHD1,DKFZP566C134,True,9784,4.678519170260991
FKBP9,FKBP9,ENSG00000122642,7,ensembl_havana,32957403,+,ensembl_havana,protein_coding,49528,5170,FKBP9,FKBP prolyl isomerase 9,Approved,nan,"FKBP60, FKBP63",True,11129,5.321672101986362
NT5C3A,NT5C3A,ENSG00000122643,7,ensembl_havana,33014113,-,ensembl_havana,protein_coding,48684,3493,NT5C3A,"5'-nucleotidase, cytosolic IIIA",Approved,NT5C3,"UMPH1, PSN1, PN-I, UMPH, P5'N-1, cN-III, p36, POMP, hUMP1",True,22669,10.83987643812821
RP9,RP9,ENSG00000164610,7,ensembl_havana,33094796,-,ensembl_havana,protein_coding,14605,1898,RP9,RP9 pre-mRNA splicing factor,Approved,nan,PAP-1,True,2993,1.4311945908208448
BBS9,BBS9,ENSG00000122507,7,ensembl_havana,33129243,+,ensembl_havana,protein_coding,476825,6195,BBS9,Bardet-Biedl syndrome 9,Approved,nan,"B1, PTHB1",True,32389,15.487792048812677
BMPER,BMPER,ENSG00000164619,7,ensembl_havana,33904910,+,ensembl_havana,protein_coding,250962,5888,BMPER,BMP binding endothelial regulator,Approved,nan,"Cv2, CRIM3",True,6666,3.187552002142249
NPSR1,NPSR1,ENSG00000187258,7,ensembl_havana,34658238,+,ensembl_havana,protein_coding,220094,2674,NPSR1,neuropeptide S receptor 1,Approved,GPR154,"PGR14, GPRA",True,1987,0.9501448887273701
DPY19L1,DPY19L1,ENSG00000173852,7,ensembl_havana,34928875,-,ensembl_havana,protein_coding,109396,5849,DPY19L1,dpy-19 like C-mannosyltransferase 1,Approved,nan,KIAA0877,True,10767,5.148570718131653
TBX20,TBX20,ENSG00000164532,7,ensembl_havana,35202429,-,ensembl_havana,protein_coding,51718,1875,TBX20,T-box transcription factor 20,Approved,nan,nan,True,7555,3.6126545718848924
HERPUD2,HERPUD2,ENSG00000122557,7,ensembl_havana,35632658,-,ensembl_havana,protein_coding,62913,3246,HERPUD2,HERPUD family member 2,Approved,nan,FLJ22313,True,10436,4.990292933446821
SEPT7,SEPT7,ENSG00000122545,7,ensembl_havana,35800931,+,ensembl_havana,protein_coding,106174,10906,SEPTIN7,septin 7,Approved,"CDC10, SEPT7","CDC3, SEPT7A",True,29703,14.203398907835467
EEPD1,EEPD1,ENSG00000122547,7,ensembl_havana,36153148,+,ensembl_havana,protein_coding,148395,4847,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,Approved,nan,KIAA1706,True,27892,13.337413807943536
KIAA0895,KIAA0895,ENSG00000164542,7,ensembl_havana,36324220,-,ensembl_havana,protein_coding,65905,6728,KIAA0895,KIAA0895,Approved,nan,nan,True,4254,2.0341803506020293
ANLN,ANLN,ENSG00000011426,7,ensembl_havana,36389805,+,ensembl_havana,protein_coding,63986,6012,ANLN,anillin actin binding protein,Approved,nan,"ANILLIN, Scraps, scra",True,1425,0.6814073811960254
AOAH,AOAH,ENSG00000136250,7,ensembl_havana,36512948,-,ensembl_havana,protein_coding,211601,3510,AOAH,acyloxyacyl hydrolase,Approved,nan,nan,True,10683,5.108403546187466
ELMO1,ELMO1,ENSG00000155849,7,ensembl_havana,36854360,-,ensembl_havana,protein_coding,594889,9570,ELMO1,engulfment and cell motility 1,Approved,nan,"KIAA0281, CED12, ELMO-1, CED-12",True,45074,21.553513193003262
EPDR1,EPDR1,ENSG00000086289,7,ensembl_havana,37683842,+,ensembl_havana,protein_coding,268099,2864,EPDR1,ependymin related 1,Approved,nan,"MERP-1, MERP1, UCC1, EPDR",True,5975,2.857129194839475
SFRP4,SFRP4,ENSG00000106483,7,ensembl_havana,37905931,-,ensembl_havana,protein_coding,119764,3606,SFRP4,secreted frizzled related protein 4,Approved,nan,"frpHE, FRP-4, FRPHE, FRZB-2",True,3362,1.6076432390042368
STARD3NL,STARD3NL,ENSG00000010270,7,ensembl_havana,38178221,+,ensembl_havana,protein_coding,52450,4348,STARD3NL,STARD3 N-terminal like,Approved,nan,"MENTHO, MGC3251",True,6149,2.9403326224381474
AMPH,AMPH,ENSG00000078053,7,ensembl_havana,38383703,-,ensembl_havana,protein_coding,247864,5636,AMPH,amphiphysin,Approved,nan,nan,True,4389,2.098734734083758
VPS41,VPS41,ENSG00000006715,7,ensembl_havana,38722962,-,ensembl_havana,protein_coding,209432,7801,VPS41,VPS41 subunit of HOPS complex,Approved,nan,HVSP41,True,19365,9.259967674990197
POU6F2,POU6F2,ENSG00000106536,7,ensembl_havana,38977997,+,ensembl_havana,protein_coding,515098,8231,POU6F2,POU class 6 homeobox 2,Approved,nan,RPF-1,True,4731,2.262272505570804
YAE1D1,YAE1D1,ENSG00000241127,7,ensembl_havana,39566375,+,ensembl_havana,protein_coding,43945,2569,YAE1,YAE1 maturation factor of ABCE1,Approved,"C7orf36, YAE1D1","GK003, CIAB2",True,5790,2.7686657804385875
RALA,RALA,ENSG00000006451,7,ensembl_havana,39623482,+,ensembl_havana,protein_coding,84642,3665,RALA,RAS like proto-oncogene A,Approved,RAL,nan,True,21150,10.113520078804166
CDK13,CDK13,ENSG00000065883,7,ensembl_havana,39950036,+,ensembl_havana,protein_coding,147098,8921,CDK13,cyclin dependent kinase 13,Approved,CDC2L5,"CHED, CDC2L, KIAA1791",True,58707,28.072549563421095
MPLKIP,MPLKIP,ENSG00000168303,7,ensembl_havana,40126022,-,ensembl_havana,protein_coding,8637,7668,MPLKIP,M-phase specific PLK1 interacting protein,Approved,C7orf11,"ORF20, TTDN1",True,6451,3.0847431691898666
SUGCT,SUGCT,ENSG00000175600,7,ensembl_havana,40134976,+,ensembl_havana,protein_coding,725787,2857,SUGCT,succinyl-CoA:glutarate-CoA transferase,Approved,C7orf10,"FLJ11808, ORF19, DERP13",True,19948,9.538746975507589
INHBA,INHBA,ENSG00000122641,7,ensembl_havana,41685113,-,ensembl_havana,protein_coding,17995,7532,INHBA,inhibin subunit beta A,Approved,nan,nan,True,4325,2.068131174507235
GLI3,GLI3,ENSG00000106571,7,ensembl_havana,41960949,-,ensembl_havana,protein_coding,276921,9239,GLI3,GLI family zinc finger 3,Approved,"GCPS, PHS","PAP-A, PAPA, PAPA1, PAPB, ACLS, PPDIV",True,18992,9.081606304333272
C7orf25,C7orf25,ENSG00000136197,7,ensembl_havana,42908725,-,ensembl_havana,protein_coding,3580,3248,C7orf25,chromosome 7 open reading frame 25,Approved,nan,MGC2821,True,124,0.059294396679513785
RP11-111K18.1,RP11-111K18.1,ENSG00000256646,7,havana,42909272,-,havana,protein_coding,22902,3068,nan,nan,nan,nan,nan,True,238,0.11380698717519581
HECW1,HECW1,ENSG00000002746,7,ensembl_havana,43112598,+,ensembl_havana,protein_coding,453403,13965,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",Approved,nan,"KIAA0322, NEDL1",True,6515,3.1153467287663896
STK17A,STK17A,ENSG00000164543,7,ensembl_havana,43582757,+,ensembl_havana,protein_coding,44029,4943,STK17A,serine/threonine kinase 17a,Approved,nan,DRAK1,True,15511,7.417059571741438
